Name,Age,City_Tier,Job_Type,Monthly_Income,EMI_Amount,Active_Loans,Credit_Utilization(%),UPI_Transactions,Bill_Payment_History(%),Bank_Balance_Variance,Is_MSME,GST_Revenue,Invoice_Defaults,Credit_Score
Oeshi Som,46,2,Self-Employed,26552,17789,0,28,49,86,10,0,0,0,686
Inaya Varkey,43,2,Salaried,10431,7093,0,95,42,95,40,0,0,0,630
Patrick Memon,52,3,Salaried,35768,19314,0,48,50,83,24,0,0,0,696
Rajeshri Parekh,33,2,Salaried,32986,15173,0,80,57,95,44,0,0,0,673
Januja Sarraf,33,1,Salaried,45727,914,1,78,46,92,6,0,0,0,747
Amara Varkey,37,1,Salaried,15984,319,1,93,47,98,43,0,0,0,750
Yochana Pai,45,1,Salaried,26906,4304,2,27,42,84,49,0,0,0,764
Rayaan Krish,42,2,Salaried,40606,27206,0,93,42,93,9,0,0,0,629
Vihaan Kumer,47,1,Salaried,16255,9915,0,10,62,93,16,0,0,0,732
Urvi Bassi,37,1,Self-Employed,17762,888,1,36,43,81,11,0,0,0,767
Pooja Saraf,46,2,Self-Employed,10000,2800,0,24,52,78,44,0,0,0,752
Aadhya Lanka,58,1,Student,14020,3505,3,44,55,94,18,0,0,0,760
Daksha Chada,34,2,Salaried,10000,4400,0,95,57,87,19,0,0,0,647
Maanas Sharma,34,2,Salaried,15652,0,0,27,48,80,14,0,0,0,789
Ayushman Bansal,32,3,Self-Employed,23328,13063,1,45,39,71,13,0,0,0,628
Omkaar Ratta,25,3,Self-Employed,11409,3650,0,84,60,71,19,0,0,0,635
Sanaya Nath,57,1,Salaried,33579,18132,1,41,50,70,44,0,0,0,676
Aashi Talwar,24,3,Self-Employed,18604,1674,0,19,41,76,34,0,0,0,755
Falguni Dube,49,1,Salaried,21441,2358,1,73,43,75,42,0,0,0,726
Sathvik Bedi,45,3,Salaried,37878,11363,0,32,47,82,43,0,0,0,747
Avni Chandran,24,2,Salaried,26135,13328,2,89,58,73,20,0,0,0,575
Jackson Pandit,36,1,Self-Employed,18300,9333,0,77,60,71,49,0,0,0,623
Anusha Raju,22,2,Salaried,18400,10672,0,32,43,86,21,0,0,0,660
Gautam Narula,43,3,Self-Employed,13249,5432,0,20,64,97,25,1,285180,1,813
Chaman Dhillon,24,3,Salaried,25487,254,0,83,48,72,8,0,0,0,699
Harrison Bawa,40,2,Salaried,10000,2400,1,23,53,90,11,1,56325,1,765
Faraj Chanda,37,3,Salaried,15483,9134,0,35,51,78,12,0,0,0,664
Gaurav Mutti,26,1,Salaried,13418,3086,1,82,51,88,12,1,153384,0,681
Girish Badal,38,1,Self-Employed,16075,9805,1,39,64,91,18,0,0,0,674
Jeremiah Lal,40,1,Salaried,16525,7932,1,95,58,92,30,0,0,0,649
Ojasvi Oommen,59,2,Self-Employed,17855,11248,2,74,65,74,10,0,0,0,626
Kamya Mani,54,1,Student,11105,3442,1,64,54,93,31,0,0,0,740
Deepa Prashad,44,2,Salaried,31350,8778,1,51,51,75,22,0,0,0,706
Charles Goel,38,2,Self-Employed,11017,881,3,24,50,90,15,0,0,0,773
Anthony Yadav,50,3,Self-Employed,32452,11358,0,31,49,98,7,0,0,0,778
Anika Singh,21,2,Salaried,10699,7275,0,17,43,99,17,0,0,0,680
Anvi Reddy,43,2,Self-Employed,10000,4000,2,87,53,85,8,0,0,0,654
Caleb Sehgal,49,3,Salaried,76363,16036,1,93,59,96,27,0,0,0,728
Aarav Mangat,52,3,Salaried,34325,20595,1,26,50,92,46,1,228186,1,764
Vasudha Barad,22,3,Salaried,16979,10357,1,99,56,83,28,0,0,0,571
Hardik Sachar,56,1,Self-Employed,54371,32078,1,22,57,97,18,0,0,0,737
Hemani Desai,37,2,Salaried,18735,5995,1,89,50,95,49,0,0,0,688
Ojasvi Gara,22,1,Self-Employed,39469,12235,1,17,52,88,44,1,110332,2,723
Chaaya Basak,24,2,Salaried,22480,12364,1,60,50,85,27,0,0,0,630
Sarthak Kamdar,54,1,Salaried,10000,3300,0,71,50,76,43,0,0,0,705
Bhavini Radhakrishnan,21,3,Salaried,23733,15426,0,30,44,74,8,0,0,0,623
Yashoda Raval,43,2,Salaried,12914,3745,2,81,51,74,36,0,0,0,660
Upasna Bahri,26,1,Salaried,21464,4292,1,36,45,88,28,1,370478,0,783
Isaac Ratta,36,2,Salaried,35391,3893,0,99,47,77,16,0,0,0,693
Sneha Nigam,22,3,Student,14878,8034,2,60,56,78,19,0,0,0,604
Yagnesh Nadkarni,32,1,Salaried,34299,17492,2,14,50,87,11,1,123027,1,691
Tanveer Patil,47,2,Self-Employed,29107,14844,1,56,70,74,40,1,493939,0,708
Jyoti Mangat,39,1,Salaried,20276,608,1,53,51,86,37,0,0,0,768
Adya Zacharia,48,3,Salaried,10000,6500,1,14,43,75,17,0,0,0,676
Chameli Venkataraman,55,1,Salaried,10614,4776,0,32,48,88,15,0,0,0,745
Nilima Kothari,24,1,Student,39838,21910,0,90,52,97,31,0,0,0,634
Vedant Hora,27,2,Salaried,12538,2632,0,21,57,92,15,0,0,0,766
Unnati Vaidya,57,1,Self-Employed,15928,7804,0,95,46,82,21,0,0,0,666
Hredhaan Mann,45,3,Salaried,33209,20257,2,77,46,88,48,0,0,0,632
Brijesh Yadav,37,2,Salaried,22492,11470,1,19,48,91,22,1,53754,1,712
Waida Subramaniam,34,1,Student,19594,2351,1,90,50,85,21,0,0,0,702
Agastya Peri,57,2,Self-Employed,33772,16886,1,26,46,78,5,1,322708,1,765
Alexander Arya,22,3,Salaried,23400,7488,1,94,43,94,31,0,0,0,656
Pranav Dada,44,3,Salaried,28470,1992,0,11,41,88,23,0,0,0,824
Vasatika Anne,35,2,Salaried,12749,5354,1,48,43,78,26,0,0,0,672
Balhaar Merchant,53,1,Salaried,38762,18218,4,74,43,98,13,1,205890,0,726
Jason Sood,32,3,Salaried,18792,375,4,71,50,96,25,0,0,0,730
Upadhriti Sanghvi,39,1,Self-Employed,26398,12671,0,32,48,85,47,0,0,0,707
Advay Varma,25,3,Student,15032,4509,1,97,53,91,29,0,0,0,656
Harshil Wable,21,1,Salaried,27212,7347,0,52,52,87,27,0,0,0,703
Omkaar Master,29,2,Salaried,24142,12071,0,72,42,95,12,0,0,0,666
Gabriel Magar,59,3,Self-Employed,20764,13704,0,36,61,93,43,0,0,0,716
Joshua Saran,54,2,Salaried,35302,10237,1,52,50,77,5,0,0,0,724
Zansi Modi,49,2,Salaried,29475,7368,0,66,58,86,37,0,0,0,737
Abhiram Brahmbhatt,22,1,Self-Employed,44876,25579,0,53,45,80,26,0,0,0,629
Urishilla Upadhyay,39,1,Self-Employed,17143,11142,0,64,56,77,30,0,0,0,625
Neha Atwal,48,1,Salaried,36223,19198,3,31,55,90,10,0,0,0,693
Niharika Dhaliwal,55,3,Student,34205,0,0,52,43,76,36,0,0,0,791
Amruta Ben,42,2,Self-Employed,11895,951,3,12,51,90,34,0,0,0,792
Thomas Palan,24,1,Self-Employed,14537,5087,1,73,41,94,47,0,0,0,675
Onkar Kashyap,28,1,Salaried,19673,13377,0,23,51,84,13,0,0,0,655
Nitara Nath,21,3,Salaried,35477,7450,0,17,66,82,42,0,0,0,740
Maanas Tripathi,56,1,Salaried,29856,20003,1,44,44,71,11,0,0,0,647
Ekani Saran,27,1,Student,35503,18816,3,10,42,72,9,1,109450,0,643
Madhavi Pradhan,45,2,Self-Employed,17677,8838,2,17,45,72,8,0,0,0,682
Anika Raval,49,1,Salaried,17801,4984,1,29,62,90,30,0,0,0,766
Gagan Sankar,21,1,Salaried,29257,2340,0,76,51,75,37,0,0,0,693
Neel Bhavsar,38,3,Salaried,18995,4748,2,90,41,73,45,0,0,0,649
Rajeshri Sheth,24,2,Salaried,18229,6380,3,39,56,74,9,1,479450,0,699
Vedhika Kibe,40,2,Salaried,16247,10073,3,77,37,95,12,0,0,0,625
Arin Ramesh,28,2,Student,30663,17477,1,51,43,99,49,0,0,0,669
Abdul Garg,47,1,Salaried,29925,7481,0,27,44,79,26,0,0,0,759
Samaksh Natt,59,3,Self-Employed,54450,8712,0,61,49,93,19,0,0,0,791
Edhitha Kalla,55,1,Salaried,15711,5813,0,84,51,93,16,0,0,0,719
Praneel Pant,45,3,Salaried,26046,17971,0,29,51,72,48,0,0,0,652
Tanish Kapur,34,1,Salaried,30408,304,1,87,55,85,19,0,0,0,727
Bahadurjit Cherian,51,3,Salaried,16013,1601,4,38,53,95,38,0,0,0,777
Hemal Ahluwalia,25,3,Student,25583,14070,2,50,56,82,31,1,396587,1,675
Warinder Bala,37,1,Salaried,15930,2867,1,84,44,80,19,0,0,0,691
Azaan Barad,30,1,Salaried,39475,4342,1,78,47,72,46,0,0,0,684
Ekavir Krishna,36,1,Salaried,20101,804,2,79,58,85,20,0,0,0,723
Saumya Thakkar,24,1,Student,34521,16915,1,88,39,99,26,0,0,0,642
Frado Suresh,25,2,Salaried,16625,332,1,91,46,99,24,0,0,0,734
Qushi Chatterjee,40,2,Salaried,13488,7553,2,86,47,86,30,0,0,0,620
Madhav Comar,26,2,Self-Employed,61134,38514,1,25,42,92,9,0,0,0,666
Ucchal Patla,31,1,Salaried,31561,2524,1,42,53,92,25,0,0,0,767
Wridesh Mistry,37,1,Salaried,21640,216,0,78,56,95,39,0,0,0,771
Neel Ravi,23,2,Self-Employed,14089,9016,0,99,42,78,16,0,0,0,567
Meghana Mani,36,3,Salaried,25337,15708,0,67,52,71,43,0,0,0,611
Siddharth Mitra,56,1,Self-Employed,63419,634,1,42,42,80,33,1,120403,0,799
Udyati Gour,46,1,Salaried,21212,5090,0,46,59,95,37,0,0,0,772
Zarna Kalla,44,1,Self-Employed,15773,7886,1,72,43,87,7,0,0,0,665
Umang Palla,54,2,Salaried,14748,2949,1,54,59,77,46,1,430876,1,790
Chakrika Dada,40,2,Salaried,10777,5711,1,94,46,75,47,1,265813,0,656
Dhruv Ratti,37,2,Salaried,13308,4524,1,54,50,72,18,0,0,0,673
Oeshi Prabhakar,40,3,Salaried,13376,3210,1,69,42,90,29,1,472966,1,769
Ekanta Ratta,36,2,Self-Employed,15109,906,0,22,48,96,38,1,395836,0,868
Tripti Dass,24,1,Salaried,33220,2657,3,41,45,91,42,0,0,0,735
Mason Goel,38,1,Self-Employed,17858,3750,0,75,47,82,5,0,0,0,710
Chandani Nagi,56,2,Student,21268,425,0,61,54,83,14,0,0,0,794
Udant Balay,55,3,Self-Employed,10000,1700,1,15,56,97,42,1,98948,0,826
Rajata Brahmbhatt,50,3,Self-Employed,13828,276,3,71,54,94,26,0,0,0,766
Zaitra Nath,38,1,Salaried,28983,10144,2,82,52,93,37,0,0,0,677
Mason Ranganathan,41,1,Self-Employed,14202,7243,0,44,63,88,42,0,0,0,698
Ekaja Ratta,52,3,Salaried,15703,7851,4,28,45,87,33,0,0,0,692
Yoshita Bal,25,1,Salaried,12437,7462,0,75,53,88,44,0,0,0,622
Zashil Sani,43,3,Self-Employed,44440,3110,0,44,53,94,45,0,0,0,801
Chanchal Kata,50,2,Salaried,64503,30316,0,94,50,81,17,1,371938,0,707
Chameli Pal,47,2,Salaried,45708,26053,3,58,49,80,28,0,0,0,636
Yatin Kota,35,1,Self-Employed,18089,11576,1,83,46,93,28,0,0,0,623
Isaiah Buch,34,2,Self-Employed,32494,17871,0,72,51,98,10,0,0,0,670
Upadhriti Agate,41,3,Salaried,18653,6901,0,81,41,84,23,0,0,0,681
Harita Biswas,54,2,Self-Employed,12897,4127,0,95,43,82,7,0,0,0,695
Tanay Saini,46,2,Self-Employed,20808,5618,0,31,47,74,48,1,60234,1,739
Owen Deshmukh,45,3,Salaried,14528,7845,1,67,58,80,49,0,0,0,650
Megha Ranganathan,51,2,Self-Employed,15255,8390,0,78,53,73,18,0,0,0,643
Tamanna Morar,26,3,Self-Employed,22245,14014,0,59,56,89,7,0,0,0,636
Urishilla Andra,24,1,Salaried,33403,668,3,68,47,80,45,0,0,0,698
Tanay Chowdhury,44,3,Salaried,30516,18614,1,54,51,84,45,1,126800,1,655
Charan Bumb,51,1,Self-Employed,26109,783,0,69,55,78,35,1,205085,2,816
Saumya Sagar,39,1,Salaried,16626,5486,2,23,57,92,10,1,273222,1,790
Harshil Chaudry,31,1,Salaried,23056,11297,2,16,53,72,33,1,98544,0,661
Oeshi Mall,49,3,Self-Employed,12253,4043,4,18,45,76,44,0,0,0,709
Garima Tella,25,1,Salaried,16228,6815,1,14,49,78,39,0,0,0,689
Raksha Dani,38,3,Self-Employed,20180,3834,1,49,50,84,31,0,0,0,734
Jack Mane,23,2,Salaried,15416,4624,1,92,46,75,34,0,0,0,626
Qasim Yogi,31,2,Self-Employed,25808,6452,1,20,51,93,11,0,0,0,757
Nachiket Khosla,41,2,Self-Employed,28618,4578,1,50,40,95,46,1,238106,0,816
Ekaja Nair,50,1,Student,45232,452,0,70,55,99,29,1,71869,0,809
Naksh Virk,39,3,Self-Employed,25702,9766,0,27,49,71,26,0,0,0,704
Advika Kanda,45,3,Salaried,28943,8972,2,63,44,96,12,1,342440,0,772
Yash Dhawan,55,1,Salaried,19712,1576,4,40,49,85,5,1,345444,0,815
Raghav Bansal,32,3,Salaried,92520,41634,0,64,48,72,48,0,0,0,643
Gaurav Parsa,46,3,Student,61150,20791,0,14,44,94,21,0,0,0,782
Noah Sule,25,2,Student,33654,18846,0,33,52,77,49,1,321219,0,700
Vanya Dani,39,1,Salaried,10000,1200,0,17,44,79,11,1,292339,0,832
Nathaniel Ganesan,47,2,Salaried,58341,27420,4,42,47,81,34,0,0,0,664
William Jaggi,58,1,Self-Employed,11829,118,0,13,50,97,19,0,0,0,875
Pooja Bora,49,2,Salaried,39016,17557,0,75,42,82,36,0,0,0,680
Amara Butala,32,3,Salaried,14613,5114,0,64,42,71,16,0,0,0,661
Zansi Kamdar,39,1,Salaried,26810,14745,2,28,51,75,40,1,156801,0,657
Girik Khatri,29,2,Salaried,14954,5832,0,91,51,77,36,0,0,0,633
Mugdha Bains,38,1,Salaried,19941,5384,1,54,44,94,38,1,261676,1,783
Raksha Cherian,49,2,Salaried,21714,8902,2,54,45,72,16,0,0,0,669
Zinal Bera,23,1,Salaried,14752,295,0,91,58,82,5,0,0,0,707
Nimrat Dayal,43,3,Salaried,21652,5413,0,65,52,89,27,0,0,0,734
Nandini Tak,50,2,Salaried,18417,5340,2,31,45,91,44,0,0,0,756
Ekani Mani,44,1,Self-Employed,22926,6419,2,87,41,87,34,0,0,0,684
Rajeshri Mander,57,2,Salaried,10000,5400,2,85,43,81,10,0,0,0,644
Shaurya Kari,57,3,Student,21530,9042,1,91,46,79,32,0,0,0,668
Wakeeta Lalla,24,1,Salaried,16327,1632,5,80,37,89,13,0,0,0,668
Yashodhara Kala,48,3,Salaried,14337,4587,1,33,48,80,13,1,182331,0,733
Kashish Arora,36,2,Salaried,27598,8831,2,90,53,83,16,0,0,0,652
Damyanti Wali,33,3,Salaried,18030,12080,1,96,54,93,30,0,0,0,601
Damyanti Chaudhry,28,3,Salaried,12959,907,0,42,59,77,34,1,74969,1,744
Ekiya Raval,45,1,Salaried,44782,7165,0,43,51,95,14,0,0,0,790
Hamsini Morar,22,3,Self-Employed,28281,10463,1,79,50,89,5,0,0,0,651
Ishani Prabhu,50,2,Self-Employed,21411,5566,1,85,56,83,42,1,81341,0,702
Jai Sankar,23,1,Student,45838,13293,1,45,50,75,24,0,0,0,675
Gagan Dube,43,3,Salaried,15955,8137,0,14,55,73,13,0,0,0,701
Divya Shah,49,2,Salaried,25636,8972,1,35,53,95,15,0,0,0,756
Anmol Swamy,50,1,Salaried,38077,15611,1,15,60,91,27,0,0,0,758
Radha Bali,31,1,Self-Employed,23811,8810,2,46,60,99,31,0,0,0,709
Benjamin Gola,41,2,Self-Employed,77820,24902,1,37,58,86,38,0,0,0,729
Gaurang Issac,47,1,Salaried,25527,15060,0,49,57,71,10,0,0,0,653
Gautam Virk,44,1,Salaried,25977,14027,0,86,56,78,34,1,340473,0,685
Urishilla Vyas,51,3,Salaried,41586,3742,0,50,45,84,47,0,0,0,785
Udarsh Narayan,50,2,Self-Employed,28582,7145,2,35,55,97,27,1,372130,1,822
Naksh Sachdev,21,2,Self-Employed,24595,2951,0,29,50,86,20,0,0,0,754
Nakul Narain,21,1,Salaried,23248,11624,3,77,43,84,16,0,0,0,596
Varenya Kale,28,1,Salaried,19242,3271,2,89,53,76,49,0,0,0,655
Nakul Pandya,54,2,Salaried,10000,3200,2,30,55,97,25,0,0,0,770
Hredhaan Chaudhry,36,3,Salaried,28929,6075,0,78,51,79,6,0,0,0,698
Qushi Balan,47,1,Salaried,21641,9954,1,15,43,84,19,1,337184,0,779
Nakul Bhakta,24,1,Student,12235,3915,1,69,55,94,17,0,0,0,685
Faris Mannan,39,3,Salaried,15680,9251,4,38,52,91,37,0,0,0,651
Zashil Sarma,49,3,Salaried,14526,435,2,24,47,82,8,1,449358,0,845
Pallavi Mittal,23,2,Salaried,42755,1710,1,83,50,70,15,0,0,0,677
Damyanti Barad,31,2,Salaried,34844,23693,1,58,53,89,43,0,0,0,625
Rachit Dass,28,1,Self-Employed,47451,21352,2,34,67,78,30,0,0,0,658
Vamakshi Vyas,59,1,Self-Employed,25014,12006,1,49,38,78,37,0,0,0,699
Amol Bala,53,3,Self-Employed,34102,23530,1,28,46,70,30,0,0,0,652
Bahadurjit Chowdhury,28,1,Student,28477,15377,0,91,59,84,37,0,0,0,615
Udyati Bhardwaj,45,2,Salaried,11838,6274,0,21,49,81,41,1,359216,0,760
Raksha Kari,44,2,Salaried,19432,12825,3,87,42,81,41,1,451204,1,636
Abhimanyu Natarajan,46,2,Self-Employed,22740,2046,2,38,49,88,28,1,151615,0,776
Ronith Raval,46,1,Salaried,40560,27175,0,42,49,99,35,0,0,0,698
Pahal Bir,37,2,Salaried,15651,5321,1,90,54,71,26,0,0,0,635
Finn Misra,47,1,Self-Employed,15108,3323,1,61,40,82,47,1,406442,1,777
Ranveer Varghese,49,1,Student,17273,3454,0,44,62,86,38,1,461595,2,819
Barkha Gade,59,2,Self-Employed,39198,5487,1,39,55,87,25,0,0,0,795
Kritika Upadhyay,29,2,Salaried,21880,14878,4,75,39,83,37,0,0,0,563
Naksh Kannan,34,2,Salaried,30426,912,0,83,49,81,14,0,0,0,729
Falguni Chaudhary,25,2,Salaried,39511,13828,0,71,51,83,30,0,0,0,666
Parth Sant,50,1,Salaried,22595,9263,2,19,45,79,40,0,0,0,720
Aayush Tata,48,1,Salaried,21286,4470,0,61,48,70,23,0,0,0,717
Aashi Mall,57,1,Salaried,21617,4539,3,11,39,92,26,0,0,0,796
Anay Nair,28,3,Self-Employed,17520,6132,1,71,47,83,45,0,0,0,661
Vinaya Kar,35,1,Salaried,28951,15923,0,56,43,91,41,0,0,0,674
Rudra Dua,48,1,Salaried,22979,4595,2,23,59,98,38,1,97778,0,793
Yashasvi Prabhakar,56,3,Student,30614,9796,1,12,52,98,45,0,0,0,803
Chaman Dash,53,1,Salaried,26187,2094,0,26,58,93,32,1,379606,2,882
Mahika Bal,26,1,Salaried,20000,200,2,92,64,75,19,1,241308,1,729
Turvi Kunda,32,3,Salaried,13531,811,0,86,42,97,44,0,0,0,749
Hritik Atwal,27,1,Salaried,15326,6743,2,47,61,80,28,0,0,0,650
Zashil Bahl,48,2,Self-Employed,23984,1439,1,38,43,94,40,0,0,0,808
Gayathri Parmer,27,3,Salaried,19566,11348,0,47,48,92,43,0,0,0,666
Qushi Pillay,21,3,Student,15386,2615,0,34,49,78,11,0,0,0,723
Netra Mannan,44,1,Salaried,23270,7213,2,96,51,82,43,1,112549,0,659
Noah Venkataraman,39,1,Self-Employed,44849,20630,2,60,60,92,37,1,418638,0,727
Bina Sagar,52,2,Student,40838,18377,0,35,48,75,46,0,0,0,711
Avni Parsa,50,1,Self-Employed,18103,8508,0,68,48,98,11,0,0,0,717
Jyoti Chatterjee,21,1,Salaried,22692,14295,0,84,42,74,49,0,0,0,573
Nikita Chhabra,52,2,Salaried,14295,2287,3,35,51,87,28,0,0,0,763
Agastya Ray,40,1,Salaried,44213,6631,0,60,56,71,28,0,0,0,718
Vanya Chand,41,3,Salaried,57810,20233,0,94,51,91,49,1,158699,1,686
Udant Varty,39,1,Salaried,29577,16858,0,61,45,80,36,0,0,0,650
Ganga Ram,50,1,Salaried,20527,8621,0,58,44,97,14,0,0,0,735
Irya Mani,48,3,Self-Employed,16450,493,1,85,48,78,33,0,0,0,735
Tanmayi Raja,52,1,Salaried,15084,2413,0,19,49,81,34,0,0,0,797
Vritti Manda,50,3,Self-Employed,21363,14099,0,42,57,94,9,0,0,0,697
Zinal Badal,43,1,Self-Employed,15355,8138,0,97,47,87,24,0,0,0,642
Netra Karpe,47,2,Salaried,10000,3800,2,33,51,79,13,0,0,0,707
Damyanti Sehgal,57,3,Self-Employed,14773,4875,3,15,52,85,37,0,0,0,754
Warhi Dewan,46,2,Salaried,37568,23667,4,73,38,75,48,0,0,0,587
Mugdha Sura,23,1,Self-Employed,28681,10325,0,99,58,73,8,0,0,0,613
Ishwar Nadig,51,2,Salaried,47483,7122,1,28,35,85,14,0,0,0,787
Maya Varkey,22,2,Salaried,35924,359,1,16,49,93,6,1,481278,0,844
Ekta Nazareth,30,1,Salaried,10000,3900,0,45,38,78,43,1,476457,0,733
Naksh Jha,58,3,Salaried,30069,7517,1,46,46,80,17,0,0,0,750
Bhavini Srivastava,39,3,Salaried,21092,6960,0,44,54,93,49,1,109526,0,741
Ayaan Parmar,51,1,Salaried,35726,18220,0,96,47,76,25,0,0,0,639
Charan Narula,49,2,Salaried,13760,8256,0,74,49,75,34,0,0,0,637
Chaitanya Pillay,45,1,Student,22044,2865,2,22,40,73,45,1,452073,1,803
Ojasvi Bora,52,1,Salaried,35148,13707,0,78,63,97,48,0,0,0,724
Parth Ghose,37,1,Self-Employed,26771,3747,2,12,45,87,35,0,0,0,775
Sathvik Mukherjee,43,2,Salaried,19544,1563,1,30,57,90,44,0,0,0,795
Harsh Banik,38,1,Self-Employed,14835,9494,0,35,54,92,36,0,0,0,684
Yashodhara Banerjee,31,2,Salaried,33990,9177,1,77,52,80,46,0,0,0,670
Zinal Ganguly,40,2,Salaried,47781,12423,3,49,44,76,16,0,0,0,687
Ekalinga Ramaswamy,33,3,Self-Employed,38027,19393,1,95,48,92,13,1,274235,0,682
Yadavi Kanda,44,3,Salaried,22544,6763,1,94,52,83,30,1,101653,0,675
Charita Seth,40,2,Salaried,20341,1220,1,69,45,94,19,1,260665,1,813
Manthan Kulkarni,48,2,Salaried,10617,7113,3,19,52,70,37,0,0,0,637
Kai Bhattacharyya,55,3,Salaried,17909,9312,1,70,43,73,33,0,0,0,653
Urvashi Lata,41,1,Self-Employed,13315,3728,2,97,70,77,48,1,114069,1,649
Tanveer Kala,26,2,Salaried,10000,3500,2,64,47,96,14,0,0,0,681
Ekta Pall,27,2,Self-Employed,11448,1602,3,84,59,73,23,0,0,0,649
Ishani Buch,49,2,Salaried,10000,5800,2,70,50,82,40,1,393944,4,639
Gaurang Vyas,43,1,Salaried,37638,4140,0,64,48,91,37,0,0,0,767
Azad Ray,25,1,Self-Employed,43484,25655,1,29,51,71,39,0,0,0,626
Ishani Oza,42,1,Student,26268,11820,1,92,35,71,5,0,0,0,620
Bhavini Ravi,29,3,Salaried,24240,14301,0,82,40,82,44,0,0,0,612
Tamanna Shukla,52,2,Self-Employed,25393,2793,0,50,42,97,7,0,0,0,808
Ekalinga Oza,30,1,Self-Employed,28252,11300,0,64,56,92,43,0,0,0,690
Mason Bakshi,48,2,Student,18123,12323,2,72,44,92,16,0,0,0,636
Vasana Badami,31,3,Salaried,16458,11356,2,83,47,88,17,1,289923,1,636
Ucchal Kannan,27,3,Salaried,33024,330,1,74,45,94,18,0,0,0,747
Forum Atwal,50,1,Salaried,20025,4806,1,78,44,84,41,1,457978,0,765
Nitara Morar,58,3,Salaried,13264,8223,1,87,58,97,17,0,0,0,669
Jason Srivastava,54,3,Self-Employed,15220,9740,3,61,38,93,27,0,0,0,657
Nandini Krishnan,48,2,Salaried,59952,4796,3,45,43,90,30,1,154432,0,769
Vasana Sarna,52,3,Salaried,52153,3129,0,21,56,94,21,0,0,0,841
Sanaya Dara,36,3,Self-Employed,54963,10992,1,21,36,99,12,0,0,0,787
Devansh Shukla,59,2,Salaried,76719,36825,1,42,49,85,24,0,0,0,720
Chatura Bhardwaj,21,3,Self-Employed,17442,7500,1,44,43,89,23,0,0,0,673
Jack Wagle,54,1,Salaried,43642,29240,1,91,50,90,39,0,0,0,635
Netra Ahuja,43,3,Salaried,18753,12564,3,75,52,81,26,1,207536,0,644
Samar Kumer,40,2,Salaried,16670,500,1,80,57,72,36,0,0,0,714
Rayaan Bhardwaj,38,2,Salaried,41159,7820,2,26,53,90,11,0,0,0,759
Indali Bhalla,38,3,Self-Employed,22019,9027,0,57,49,83,12,0,0,0,690
Yashvi Viswanathan,41,3,Salaried,10580,2962,3,59,52,91,8,0,0,0,705
Yashica Vaidya,28,2,Salaried,16997,11557,1,94,57,71,12,0,0,0,548
Yatan Garg,54,1,Salaried,10000,5699,2,32,42,76,39,0,0,0,676
Krishna Tella,31,2,Salaried,23750,6412,1,83,51,83,34,1,154475,0,670
Umang Toor,30,3,Self-Employed,31293,15959,3,10,60,93,20,0,0,0,694
Madhav Purohit,28,2,Salaried,48181,3854,0,62,55,89,17,0,0,0,746
Warda Dora,28,3,Salaried,40566,19471,0,76,54,76,30,0,0,0,626
Aarush Ghosh,39,3,Self-Employed,60208,42145,1,53,67,93,35,1,201587,0,698
Raksha Nayak,21,2,Student,20208,12933,1,88,44,82,23,0,0,0,573
Girik Dua,23,2,Student,10000,1400,2,59,52,89,48,0,0,0,709
Samuel Gara,52,1,Salaried,52657,30014,3,81,49,97,28,0,0,0,655
Yasti Saran,36,2,Salaried,12223,8067,2,54,50,71,23,0,0,0,596
Shivani Rao,50,1,Salaried,45663,4566,2,56,45,73,22,1,83897,0,733
Wahab Kanda,48,2,Salaried,10000,1500,1,43,41,73,30,0,0,0,743
Krish Patel,48,3,Salaried,25547,14561,3,48,51,95,35,0,0,0,678
Hemani Rastogi,36,2,Salaried,13352,7210,0,63,61,90,21,0,0,0,669
Chaaya Mani,53,1,Student,28521,5989,1,13,58,81,32,0,0,0,785
Anika Pal,45,3,Self-Employed,17482,3146,1,89,48,98,13,0,0,0,736
Aarna Sood,38,2,Salaried,26274,4729,1,36,48,87,38,1,88821,0,755
Oscar Pau,46,1,Salaried,12505,1500,0,29,47,95,36,1,204100,2,863
Gagan Mander,26,2,Salaried,14002,2240,0,42,47,92,10,0,0,0,753
Ojasvi Deo,58,2,Salaried,10000,1500,1,43,50,82,34,0,0,0,777
Jagrati Kadakia,23,1,Student,47510,31356,1,80,56,83,26,0,0,0,582
Wakeeta Karnik,26,2,Salaried,11209,1793,1,90,54,76,8,1,480038,0,713
Riya Dasgupta,34,1,Salaried,26996,15117,0,52,59,71,32,0,0,0,634
Chanchal Kaur,38,3,Self-Employed,17986,5575,0,86,47,78,29,0,0,0,671
Saksham Saran,36,3,Salaried,10000,4500,1,23,57,98,28,1,184318,0,733
Dakshesh Rattan,44,1,Salaried,11614,348,2,16,38,73,37,0,0,0,777
Avni Nagarajan,33,3,Salaried,17255,8282,0,56,43,97,21,1,134238,0,697
Liam Chaudry,21,3,Salaried,22153,7753,1,89,41,78,22,0,0,0,622
Bahadurjit Sen,58,1,Salaried,19220,3075,2,76,62,79,37,0,0,0,726
Ridhi Maharaj,34,1,Salaried,37685,1884,0,56,53,88,49,0,0,0,766
Nimrat Barman,37,2,Salaried,21359,427,0,74,44,98,32,0,0,0,779
George Rana,33,1,Self-Employed,25429,17037,2,33,47,86,32,0,0,0,640
